Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
13048 Hinojosas de Calatrava,"55,1",506,"49,6","40,1","99,2","8,5","1,8",16.885,15.750,26.454,14.592,23.235,12.816,"2,7","30,5"
13049 Horcajo de los Montes,"50,6",801,41,"30,3",97,"12,2","2,1",15.545,14.350,26.399,12.502,23.558,11.156,2,"27,1"
"13050 Labores, Las","49,2",548,"35,3","29,9","88,5","9,9","2,3",14.595,12.950,26.212,11.564,23.351,10.302,"2,7","29,2"
13051 Luciana,"52,6",371,39,"36,1","96,5","8,1","2,2",16.232,13.650,28.250,13.097,25.053,11.615,"2,2","27,6"
13052 Malagón,"44,5",7.731,"33,2","22,3","94,8",17,"2,4",15.278,13.650,28.210,11.788,24.745,10.340,"2,4","29,7"
13053 Manzanares,44,17.588,"28,2","20,9","93,4",17,"2,5",18.582,16.450,37.172,14.876,31.165,12.472,"2,5","29,1"
13054 Membrilla,"44,8",5.816,"21,7","22,8","97,1","16,2","2,7",18.141,16.450,38.258,13.957,32.045,11.691,"2,4","26,9"
13055 Mestanza,"55,5",662,"48,8","40,6",98,"6,5","1,8",15.530,13.650,24.299,13.150,21.567,11.671,"2,4","30,3"
13056 Miguelturra,"39,7",15.705,"22,9","12,5","96,3",21,"2,7",17.781,16.450,37.652,13.729,31.772,11.585,"2,4","28,1"
13057 Montiel,"48,5",1.219,"35,8","25,1","94,9","11,4","2,3",15.246,13.650,27.053,11.868,24.295,10.658,2,"26,2"
13058 Moral de Calatrava,44,5.110,"26,9","21,1","92,5","16,9","2,6",13.826,12.250,26.659,10.330,23.703,9.185,"2,4","27,4"
13059 Navalpino,"54,3",211,"40,8","37,9","94,3","10,4","2,1",15.937,14.000,26.805,12.312,24.073,11.057,"2,2","25,8"
13060 Navas de Estena,"57,5",286,"44,5",42,"94,4","6,6",2,16.267,15.050,26.894,13.739,23.821,12.169,"2,1","26,4"
13061 Pedro Muñoz,"43,8",7.482,"28,7","20,1","86,5",17,"2,5",14.668,12.950,28.801,11.397,24.993,9.890,"2,5","30,8"
13062 Picón,"44,9",662,"32,3","19,8",98,"15,6","2,4",17.323,15.750,32.445,13.742,28.101,11.902,"2,1","24,9"
13063 Piedrabuena,"45,4",4.360,"30,3","22,7","96,8","14,8","2,4",15.562,13.650,29.015,12.028,25.544,10.589,"2,4","26,9"
13064 Poblete,"36,8",2.862,"25,1","9,5",96,"26,6","2,7",19.180,17.150,40.038,14.884,33.108,12.308,"2,4","27,5"
13065 Porzuna,"46,8",3.497,"33,7","25,8","92,1","14,4","2,4",14.531,12.950,26.796,11.104,23.842,9.880,"2,2","28,2"
13066 Pozuelo de Calatrava,"40,5",3.674,"29,7","15,1","92,6","19,7","2,5",15.370,14.350,30.290,11.749,26.163,10.149,"2,4","28,9"
"13067 Pozuelos de Calatrava, Los","53,1",368,"39,7","31,8","94,8",6,"2,1",16.894,15.050,29.618,13.919,25.508,11.987,"2,2","27,6"
13068 Puebla de Don Rodrigo,"47,9",1.131,40,"26,1","98,6","12,8","2,2",16.441,15.050,28.528,12.935,25.092,11.377,"2,3","27,1"
13069 Puebla del Príncipe,"53,5",664,"32,5","33,4","95,5","8,3","2,2",13.806,12.250,23.670,10.720,21.507,9.740,2,27
13070 Puerto Lápice,"48,4",858,"34,7","28,3","97,6","12,2","2,3",16.651,15.050,31.252,13.209,27.274,11.528,"1,9","24,4"
13071 Puertollano,"45,2",45.130,"32,2","23,2","96,1","16,4","2,3",18.704,16.450,35.896,15.363,30.028,12.852,"2,8",32
13072 Retuerta del Bullaque,"48,2",898,"39,4","25,8","90,1","12,9","2,3",15.220,12.950,27.970,11.946,24.485,10.458,"2,4",29
13073 Saceruela,"52,9",529,"37,3","33,7","98,7","9,1","2,1",15.159,13.650,25.300,11.897,22.693,10.671,"2,1","28,5"
13074 San Carlos del Valle,"46,4",1.070,26,"25,8","99,2","15,6","2,6",14.281,12.950,27.588,10.575,24.078,9.230,"2,1","25,6"
13075 San Lorenzo de Calatrava,"56,1",199,"47,1","36,7",99,5,"1,9",17.068,16.450,27.116,14.171,23.920,12.501,"2,2","25,8"
13076 Santa Cruz de los Cáñamos,"50,3",490,"31,5",30,"99,4","11,6","2,3",12.076,10.850,21.422,9.325,19.702,8.577,"2,5",30
13077 Santa Cruz de Mudela,"47,2",3.876,"31,6","24,2","95,9","13,1","2,4",15.461,14.350,28.686,11.980,25.160,10.508,"2,1","26,2"
13078 Socuéllamos,"43,4",12.006,"27,2","19,6","88,9","17,2","2,7",14.998,13.650,30.696,11.459,26.502,9.893,"2,3","29,1"
"13079 Solana, La","42,6",15.128,"19,3","18,4","95,1","17,1","2,8",15.327,13.650,32.192,11.405,27.958,9.905,"2,1","26,3"
13080 Solana del Pino,"58,9",332,"44,6","41,9","99,4",3,"1,8",16.333,13.650,25.813,14.166,22.885,12.559,"2,4","29,8"
13081 Terrinches,"48,6",605,40,"24,6","98,2","10,3","2,1",12.713,10.850,20.830,9.794,19.154,9.006,"2,2","25,5"
13082 Tomelloso,"41,7",36.090,28,"17,2","87,1","18,5","2,6",15.590,13.650,31.712,11.964,27.131,10.235,"2,4","29,6"
13083 Torralba de Calatrava,45,3.063,29,"22,8","94,9","17,3","2,5",15.360,14.350,28.837,11.633,25.402,10.248,"2,4","28,1"
13084 Torre de Juan Abad,"50,4",970,"36,7",32,"97,9","12,4","2,3",13.773,11.550,24.265,10.712,21.988,9.707,"2,4","28,7"
13085 Torrenueva,"45,7",2.630,"30,3","24,5","97,3","16,2","2,5",13.517,12.250,25.663,10.117,23.092,9.103,2,"25,6"
13086 Valdemanco del Esteras,"60,3",162,"52,7",50,"98,2","4,9","1,7",16.118,15.400,24.270,13.804,22.132,12.588,"2,4","29,3"
13087 Valdepeñas,"43,1",30.273,"27,3","18,7","92,8","17,5","2,5",17.406,15.050,34.754,13.790,29.393,11.662,"2,6","30,6"
13088 Valenzuela de Calatrava,"46,4",654,"34,6","21,4","97,6","13,3","2,3",15.478,13.650,27.875,12.069,24.887,10.775,"2,1","27,1"
13089 Villahermosa,"52,1",1.720,"39,2","34,6","98,4","9,9","2,1",15.385,13.650,26.341,12.218,22.973,10.656,"2,3",27
13090 Villamanrique,"50,4",1.082,"35,1","28,7","97,7","10,5","2,3",14.018,12.250,24.325,10.699,22.310,9.812,2,"25,6"
13091 Villamayor de Calatrava,"51,6",640,"39,9","31,1","97,2","11,4","2,3",18.200,15.050,33.562,14.740,28.959,12.718,"2,7","32,4"
13092 Villanueva de la Fuente,"49,6",1.926,36,"29,1",96,"11,6","2,3",14.548,12.950,25.516,11.209,22.925,10.071,"2,2","28,2"
13093 Villanueva de los Infantes,"47,6",4.694,"31,8","24,8","90,3","12,4","2,5",15.806,13.650,30.617,12.371,26.697,10.787,"2,5","30,3"
13094 Villanueva de San Carlos,"59,6",280,"37,1","42,1","98,6","1,8","2,1",20.786,18.550,38.405,17.950,31.990,14.952,"2,6","30,2"
13095 Villar del Pozo,"61,2",55,"48,2","47,3",100,"3,6",2,.,.,.,.,.,.,.,.
13096 Villarrubia de los Ojos,"43,9",9.658,"28,5","20,2","91,2","16,9","2,5",14.899,12.950,28.449,11.337,24.905,9.924,"2,3","26,8"
13097 Villarta de San Juan,"45,9",2.699,"26,5","23,8","91,3","15,7","2,6",14.873,13.650,29.039,11.204,25.446,9.817,"2,2","26,1"
13098 Viso del Marqués,"51,1",2.143,"39,1",31,"96,7","11,1","2,1",15.674,14.350,27.031,12.573,23.939,11.135,"2,2","26,4"
"13901 Robledo, El","47,8",1.068,"37,7","26,5","94,4","12,6","2,2",15.169,13.650,26.460,11.724,23.567,10.442,"2,4","28,3"
13902 Ruidera,"46,6",539,"36,2","21,7","92,2","12,8","2,3",15.107,13.650,27.085,11.689,24.035,10.372,"2,1","25,2"
13903 Arenales de San Gregorio,"48,9",598,"39,1","30,3","95,3","12,9","2,2",14.552,12.950,25.203,11.335,22.283,10.022,"2,4","28,7"
13904 Llanos del Caudillo,"43,4",645,22,"22,8","85,1","17,1","2,9",16.538,14.350,37.065,12.355,30.624,10.208,2,"25,9"
14001 Adamuz,"44,9",4.085,28,"22,8","97,6","16,7","2,4",14.352,12.950,26.622,10.875,23.796,9.721,"2,1","25,8"
14002 Aguilar de la Frontera,"43,5",13.170,"24,8","19,4","97,7","16,8","2,5",14.717,13.650,27.732,11.308,24.482,9.983,"2,2","26,3"
14003 Alcaracejos,"46,3",1.411,"34,4","24,4","97,3","14,6","2,2",16.770,15.750,30.019,13.387,25.984,11.588,"2,2",25
14004 Almedinilla,"45,1",2.318,"32,8","21,7","94,9","14,8","2,3",14.212,12.950,25.658,10.917,22.888,9.738,"2,1","27,2"
14005 Almodóvar del Río,"42,1",7.949,"25,7","18,7","98,3","19,3","2,5",14.046,12.950,27.090,10.547,24.110,9.386,"2,3","26,6"
14006 Añora,"45,6",1.474,"34,9","23,3","98,9","16,8","2,4",18.680,16.450,36.248,15.284,29.976,12.640,"2,6","29,3"
14007 Baena,"42,1",18.207,27,18,"96,9","18,2","2,5",14.490,12.950,27.665,11.148,24.325,9.802,"2,4","28,5"
14008 Belalcázar,47,3.071,"30,4","25,2",98,"13,8","2,4",14.206,12.950,26.435,11.015,23.105,9.627,"2,3","27,7"
14009 Belmez,"47,9",2.787,"32,7","26,5","97,5","12,7","2,4",16.390,15.050,30.863,12.855,26.704,11.123,"2,4","28,3"
14010 Benamejí,"42,3",4.946,"30,7","17,8","97,9","18,4","2,4",13.400,12.950,24.534,10.239,21.886,9.134,"2,1","25,1"
"14011 Blázquez, Los","46,9",645,"36,3","26,7","98,6","13,2","2,1",13.133,11.550,22.671,10.521,20.479,9.503,"1,8","23,4"
14012 Bujalance,"44,2",7.059,"28,4","21,2","98,7","16,4","2,4",14.746,13.650,27.696,11.367,24.466,10.041,"2,2","26,8"
14013 Cabra,"44,6",19.874,"26,7",21,"95,8","15,6","2,5",16.552,14.350,32.248,12.990,27.775,11.188,"2,3","28,5"
14014 Cañete de las Torres,"47,7",2.827,"29,9","25,5",97,"13,2","2,3",15.030,13.650,27.156,11.775,24.083,10.442,"2,1",26
14015 Carcabuey,"47,1",2.330,"33,1","23,4","97,2","12,6","2,3",15.093,13.650,27.039,11.962,23.837,10.545,"2,2","27,7"
14016 Cardeña,"49,5",1.438,"37,3","28,2","97,2","11,7","2,2",15.054,13.650,26.371,12.094,23.309,10.690,2,26
"14017 Carlota, La","41,4",14.241,"25,4","17,5","96,7","19,8","2,5",15.313,13.650,29.739,11.687,25.890,10.174,"2,4","26,8"
"14018 Carpio, El","44,1",4.326,"25,6",21,"98,6",17,"2,5",16.617,15.750,32.155,12.820,28.009,11.167,"2,1","23,9"
14019 Castro del Río,"44,3",7.586,"23,8","20,4","96,8","15,8","2,6",15.419,13.650,30.454,11.766,26.552,10.259,"2,3","27,1"
14020 Conquista,"52,5",354,"45,1","35,9","96,9","6,8","1,9",17.440,15.050,29.824,15.292,24.999,12.818,"2,2","25,1"
14021 Córdoba,"43,8",317.187,"27,9","20,4","96,7","17,1","2,5",19.784,17.150,41.017,15.956,33.799,13.148,"2,7",32
14022 Doña Mencía,"45,2",4.516,"25,2","21,8","99,1","14,9","2,5",15.357,14.350,29.767,11.765,26.288,10.390,"2,1","25,1"
14023 Dos Torres,"44,9",2.380,"36,1","21,9","98,8","16,3","2,2",16.251,14.350,29.375,13.135,24.838,11.106,"2,1","27,2"
14024 Encinas Reales,"44,5",2.255,"34,3","21,4","97,2","16,2","2,3",13.960,13.650,24.944,10.861,22.356,9.735,2,"25,1"
14025 Espejo,"48,3",3.212,"25,5",28,"98,2",13,"2,4",15.741,14.350,29.580,12.202,26.058,10.749,2,"25,5"
14026 Espiel,"45,6",2.233,"29,1","23,2","97,8","15,4","2,4",17.126,15.750,32.533,13.525,28.035,11.655,2,"24,6"
14027 Fernán-Núñez,"43,7",9.612,"26,8","20,1","98,4","17,3","2,5",17.135,15.750,33.733,13.401,28.790,11.437,"2,2","26,8"
14028 Fuente la Lancha,"47,7",354,"43,5","25,4","99,7","13,3",2,14.821,13.650,24.059,11.996,21.531,10.735,"2,1","25,5"
14029 Fuente Obejuna,"49,1",4.393,"33,7","27,6","98,5","11,2","2,3",14.509,12.950,26.142,11.556,22.973,10.155,"2,5","28,5"
14030 Fuente Palmera,"41,4",9.915,"24,3","17,3","97,4","19,5","2,6",14.508,13.650,27.786,10.756,24.817,9.606,2,"22,4"
14031 Fuente-Tójar,"47,2",694,"34,6","25,8","95,4","14,8","2,2",14.362,12.950,24.995,11.198,22.372,10.023,"2,2","28,2"
"14032 Granjuela, La","50,1",412,"32,5","28,9","97,3","11,4","2,2",14.582,12.950,25.627,11.626,22.478,10.197,"2,4","27,6"
14033 Guadalcázar,"41,1",1.534,"30,1","15,5","98,9","19,4","2,5",15.431,14.350,29.228,11.844,25.712,10.420,"1,8","23,9"
"14034 Guijo, El","48,8",328,"33,8","31,7",97,14,"2,3",17.188,15.750,31.529,13.261,27.721,11.659,"2,1",23
14035 Hinojosa del Duque,"46,8",6.465,"28,3","25,5","98,4","14,3","2,5",15.131,13.650,29.048,11.764,25.269,10.234,"2,4","27,6"
14036 Hornachuelos,44,4.389,"27,7","20,1","98,2","16,3","2,4",14.985,13.650,27.549,11.557,24.463,10.262,2,"24,9"
14037 Iznájar,"49,2",3.788,32,"28,5","89,4","11,4","2,3",13.732,12.950,24.092,10.498,21.769,9.486,2,"26,5"
14038 Lucena,"40,9",42.543,"24,2","15,9","95,3","19,5","2,6",15.571,13.650,31.621,11.944,27.187,10.269,"2,4","28,3"
14039 Luque,"47,6",2.863,36,"24,5","97,7","12,4","2,2",14.830,13.650,25.797,11.842,22.878,10.502,"2,1","25,9"
14040 Montalbán de Córdoba,"45,4",4.472,"24,7","22,5","98,1","16,2","2,5",15.350,13.650,29.504,11.790,25.881,10.342,"2,1","25,9"
14041 Montemayor,"44,5",3.879,24,"21,7","96,3","16,2","2,5",16.390,15.050,32.093,12.516,27.914,10.887,"2,1","25,5"
14042 Montilla,"44,8",22.116,"26,5","21,3","96,9","15,4","2,5",16.760,15.050,32.779,13.227,28.021,11.307,"2,2","26,8"
14043 Montoro,43,9.107,"24,3","19,4","97,1","17,9","2,6",15.237,13.650,30.016,11.616,26.279,10.170,"2,1","25,4"
14044 Monturque,"43,7",1.930,"24,7","19,3","98,7","16,4","2,4",14.345,13.650,26.307,10.891,23.552,9.750,2,"22,9"
14045 Moriles,43,3.643,"26,8","17,8","98,6","17,2","2,4",13.823,12.950,25.739,10.539,23.143,9.476,2,"24,1"
14046 Nueva Carteya,"43,8",5.318,"21,5","19,2","98,5","16,3","2,6",13.199,12.950,25.230,9.857,22.758,8.891,"1,9","22,8"
14047 Obejo,"41,8",2.082,"33,9","16,3","96,2","16,5","2,4",17.083,15.050,32.678,13.665,28.239,11.809,"2,3","27,9"
14048 Palenciana,"44,4",1.439,"26,3","21,6","95,6","16,1","2,5",14.500,13.650,27.552,10.971,24.630,9.807,2,"24,5"
14049 Palma del Río,"42,8",20.514,"24,6","18,8",94,"17,3","2,6",15.188,13.650,30.049,11.547,26.311,10.111,"2,3","27,5"
14050 Pedro Abad,"44,4",2.798,"31,2","20,5","98,5","15,9","2,4",15.998,15.050,29.664,12.491,25.846,10.884,2,"24,5"
14051 Pedroche,48,1.402,"40,5","26,8","99,1","11,8","2,1",16.032,15.050,27.116,12.818,23.894,11.295,"2,1","24,6"
14052 Peñarroya-Pueblonuevo,"46,4",10.118,"28,2","24,6","98,6","13,9","2,4",16.772,15.050,32.657,13.435,27.816,11.444,"2,7","30,2"
14053 Posadas,"43,6",7.208,"29,5","19,4","97,5","17,2","2,4",15.253,13.650,28.556,11.776,25.035,10.324,"2,1","26,4"
14054 Pozoblanco,"43,1",16.515,"27,6","18,9","95,8","17,2","2,5",18.556,16.450,37.230,14.910,31.027,12.426,"2,5","29,4"
14055 Priego de Córdoba,"44,8",21.931,31,"21,4","97,4","15,9","2,4",14.781,13.650,27.358,11.534,24.033,10.132,"2,2","28,2"
14056 Puente Genil,"42,1",29.472,"26,4","17,9","95,7","18,4","2,5",15.498,13.650,30.742,11.968,26.519,10.324,"2,4","28,4"
"14057 Rambla, La","43,5",7.441,"24,9",19,"97,7","16,4","2,5",16.002,14.350,31.569,12.390,27.386,10.748,2,"26,5"
14058 Rute,"44,6",9.691,"31,5",21,"94,8","16,4","2,3",14.960,13.650,27.933,11.935,23.890,10.207,"2,3","28,7"
14059 San Sebastián de los Ballesteros,46,833,"31,7","25,1","98,4","15,9","2,3",19.315,14.350,40.238,17.453,31.524,13.673,"2,5","29,6"
14060 Santaella,"42,3",4.651,"21,7","20,3","97,6",19,"2,7",14.937,14.350,29.768,11.050,26.379,9.792,2,"24,5"
14061 Santa Eufemia,"54,9",674,"46,3","36,2","99,1","6,7","1,9",14.954,13.650,23.454,12.615,20.939,11.263,2,"26,5"
14062 Torrecampo,"51,5",966,"36,7","31,8","98,2","9,8","2,2",15.886,15.050,27.997,12.821,24.584,11.258,"2,3","25,9"
14063 Valenzuela,"51,5",1.047,"42,6","31,2","98,3",10,2,13.979,12.950,22.054,11.207,19.745,10.034,"2,2","26,6"
14064 Valsequillo,"49,7",356,"36,5","34,6","98,6","11,5","2,1",14.926,12.250,25.898,12.106,21.908,10.240,"2,2",30
"14065 Victoria, La","42,8",2.313,"28,6","19,4","98,4","18,7","2,5",16.022,14.350,30.337,12.367,26.557,10.827,"2,2","26,4"
14066 Villa del Río,"43,3",6.873,"23,4","19,9","98,8","17,2","2,6",15.002,13.650,29.547,11.278,25.907,9.889,2,"26,2"
14067 Villafranca de Córdoba,"41,5",4.865,"26,3","16,4",99,"19,8","2,6",16.635,15.050,33.268,12.957,28.372,11.050,"2,1","25,7"
14068 Villaharta,49,575,"41,6","27,7","92,7",11,2,16.683,15.050,28.368,13.744,24.583,11.910,"2,4","29,4"
14069 Villanueva de Córdoba,"45,7",8.284,"31,3","23,3","98,4","14,9","2,4",14.847,13.650,27.426,11.631,24.059,10.203,"2,2","27,7"
14070 Villanueva del Duque,"50,2",1.355,"36,4","31,1","97,4","11,5","2,3",16.353,14.350,29.311,12.977,25.681,11.370,"2,1","26,9"
14071 Villanueva del Rey,"46,5",955,"38,7",23,"98,3","15,1","2,2",14.806,12.950,25.764,11.843,22.664,10.418,"2,3","27,2"
14072 Villaralto,"51,4",1.070,"43,8","33,5","98,8","11,4","1,9",15.718,14.350,25.456,13.160,22.437,11.599,"2,1","27,6"
14073 Villaviciosa de Córdoba,"48,7",3.088,"34,3","28,1","97,9","12,9","2,2",13.377,12.250,23.183,10.528,20.814,9.452,"2,3","27,5"
"14074 Viso, El","47,2",2.438,"32,5",26,"98,4","12,7","2,2",15.716,14.350,28.021,12.573,24.599,11.037,"2,2","26,7"
14075 Zuheros,"51,2",621,"39,8","28,7","97,3","10,6","2,1",16.046,15.050,27.683,13.281,24.269,11.643,"2,2",25
14901 Fuente Carreteros,"44,4",1.088,29,"22,3",98,"15,7","2,4",13.370,12.950,24.052,9.940,22.181,9.167,2,"21,4"
"14902 Guijarrosa, La","44,1",1.344,"28,4","20,5","98,6","17,3","2,4",13.925,12.950,25.483,10.539,22.900,9.471,"1,8","22,2"
15001 Abegondo,"49,9",5.569,"27,2","30,4","98,1","12,9","2,6",20.734,19.250,42.115,16.382,35.491,13.806,"2,1","25,7"
15002 Ames,"41,3",32.467,"26,9","13,9",94,"18,8","2,6",21.144,19.250,44.130,17.158,35.912,13.963,"2,5","29,2"
15003 Aranga,"55,7",1.819,"37,7","40,3",97,"8,2","2,4",19.253,17.150,35.876,15.239,31.208,13.257,2,25
15004 Ares,"48,6",6.127,"33,7","27,1",97,"12,7","2,2",20.423,18.550,38.339,17.254,31.749,14.288,"2,3","27,6"
15005 Arteixo,"43,1",33.364,"25,6","17,5","93,2","17,1","2,5",19.304,17.150,39.103,15.469,32.650,12.917,"2,4","28,1"
15006 Arzúa,"50,5",5.833,"29,4","30,6","95,3","11,9","2,4",18.646,17.150,36.038,14.708,30.950,12.632,"2,1","25,5"
"15007 Baña, A","54,6",3.313,"25,4","38,6","98,9","9,1","2,6",19.128,17.850,38.636,14.437,33.889,12.663,2,"24,2"
15008 Bergondo,49,6.901,"26,5","28,9","97,6","13,3","2,5",23.672,19.950,50.311,19.654,40.724,15.909,"2,4",30
15009 Betanzos,"47,1",12.917,"31,2","24,8","93,9","14,2","2,3",19.564,17.850,37.411,15.970,31.354,13.384,"2,4","28,5"
15010 Boimorto,"55,6",1.784,"34,1","36,2","96,8","7,1","2,4",17.948,16.450,33.338,14.046,29.267,12.331,"2,2","25,4"
15011 Boiro,"45,6",18.918,"27,5","22,7","96,9",15,"2,5",19.012,17.150,37.944,14.750,32.463,12.620,2,"24,4"
15012 Boqueixón,"47,7",4.098,"27,4","26,2","98,3",14,"2,6",19.984,18.550,41.378,15.612,35.096,13.242,2,"24,2"
15013 Brión,"44,4",8.116,"26,1","20,8","96,7","17,5","2,6",21.264,18.550,44.912,16.884,37.037,13.923,"2,3","28,4"
15014 Cabana de Bergantiños,"53,2",4.131,"26,4","36,1",99,"9,5","2,6",18.540,17.150,36.604,14.217,31.982,12.422,2,"23,4"
15015 Cabanas,"50,9",3.144,30,"30,2","97,8","11,5","2,3",22.364,19.950,43.994,18.720,36.291,15.442,"2,3","27,7"
15016 Camariñas,"50,7",5.154,"31,9",32,"97,1",11,"2,3",15.917,15.050,29.152,12.257,25.867,10.875,"2,2",27
15017 Cambre,"44,7",24.725,"25,7","19,4","95,7","15,4","2,5",21.100,19.250,43.210,17.174,35.614,14.155,"2,3","26,8"
"15018 Capela, A","52,1",1.187,"24,6","32,6","97,6","9,5","2,6",21.080,19.250,42.889,16.734,36.540,14.256,"2,1","25,3"
15019 Carballo,"46,5",31.268,"26,9","24,4","97,1","15,2","2,5",18.394,17.150,36.269,14.526,30.610,12.260,"2,2","26,5"
15020 Carnota,"54,5",3.832,35,"38,9","98,4",9,"2,3",17.501,16.450,31.261,13.660,27.254,11.909,"2,3","26,8"
15021 Carral,"45,7",6.704,"27,8","23,3","95,5","15,7","2,5",20.029,17.850,39.740,15.973,33.322,13.394,"2,1","25,9"
15022 Cedeira,50,6.531,"37,3","30,3","93,6","12,2","2,2",17.423,15.750,31.169,14.120,26.930,12.199,"2,3","28,3"
15023 Cee,48,7.633,"30,3","26,9","96,2","14,2","2,4",18.069,16.450,34.607,14.233,29.533,12.147,"2,4","28,5"
15024 Cerceda,"49,7",5.016,"28,1","30,3","96,1","12,9","2,6",20.953,19.950,42.569,16.352,36.040,13.844,"2,1","25,1"
15025 Cerdido,"54,9",1.032,"34,8","39,3","94,6","8,7","2,2",15.878,15.050,28.104,12.674,23.821,10.743,2,"23,2"
15026 Cesuras,,,,,,,,,,,,,,,
15027 Coirós,"48,7",1.868,"24,7","29,6","98,2","15,7","2,6",22.118,19.950,45.107,17.030,37.922,14.317,2,"24,3"
15028 Corcubión,"49,8",1.655,"38,7","27,7",97,"10,2","2,1",19.183,17.150,35.149,16.024,29.447,13.425,"2,4","27,4"
15029 Coristanco,"52,8",5.778,"25,8","35,6","98,4","10,6","2,5",17.657,16.450,34.438,13.525,30.169,11.848,"2,1","24,2"
"15030 Coruña, A","46,9",244.234,"32,7","25,4","92,8","14,2","2,3",23.642,19.950,47.151,20.276,37.649,16.190,"2,8","32,3"
15031 Culleredo,"43,9",30.755,"29,5","18,8","94,6","17,2","2,4",21.081,19.250,42.168,17.347,34.473,14.181,"2,5","28,5"
15032 Curtis,"48,4",4.124,31,"27,3","94,1","12,8","2,4",18.769,17.850,35.479,14.592,30.546,12.563,"2,2","25,9"
15033 Dodro,"50,4",2.664,"27,6","31,3","98,2","12,3","2,6",18.303,17.850,37.067,14.000,32.179,12.154,"1,9",23
15034 Dumbría,"52,2",2.888,"25,3","34,8","98,6","9,6","2,9",19.799,18.550,43.162,14.621,37.248,12.617,"2,1","24,9"
15035 Fene,"50,3",12.522,"29,4","30,3","98,4","11,9","2,3",20.325,19.250,38.497,16.616,32.502,14.028,"2,1","24,4"
15036 Ferrol,"49,4",63.068,"36,9","29,6","95,9","12,4","2,1",20.132,18.550,36.668,16.956,30.784,14.236,"2,6","29,9"
15037 Fisterra,"49,4",4.683,"31,6",28,96,11,"2,4",16.235,15.050,30.591,12.441,26.884,10.933,"2,3","27,2"
15038 Frades,52,2.233,26,"32,7","98,7","9,7","2,7",19.904,18.550,41.604,15.159,35.799,13.044,"2,3","25,1"
15039 Irixoa,"54,1",1.316,"38,5","36,6","98,5","8,1","2,3",18.713,17.150,34.546,15.234,29.682,13.089,"2,1","25,4"
15040 Laxe,"51,1",2.944,"32,5",33,"97,6","11,3","2,3",17.133,15.750,31.509,13.416,27.668,11.780,"2,2","26,3"
"15041 Laracha, A","47,8",11.478,"28,1","26,6","97,1","14,5","2,5",19.124,17.850,37.416,15.200,31.745,12.896,"2,2","25,6"
15042 Lousame,"51,2",3.163,"24,2","33,2","98,9","11,3","2,8",18.263,17.150,38.641,13.549,33.876,11.878,"1,9","22,5"
15043 Malpica de Bergantiños,"53,5",5.263,"33,3","34,9","97,4","7,7","2,2",17.329,16.450,31.166,13.812,27.283,12.091,"2,1","24,2"
15044 Mañón,"56,2",1.216,"42,4","39,3","95,8","7,4",2,18.021,16.450,30.738,14.659,26.900,12.828,"2,3",27
15045 Mazaricos,"53,8",3.752,"26,7","37,7","98,8","8,6","2,6",19.488,17.150,39.767,14.864,34.510,12.900,"2,2","26,4"
15046 Melide,"47,6",7.547,"33,8","26,4",94,"14,2","2,3",16.911,15.050,31.071,13.345,26.898,11.553,"2,2","28,1"
15047 Mesía,"52,6",2.417,"29,9","35,7","98,8","10,3","2,5",18.698,17.150,36.389,14.334,31.699,12.487,"2,1","23,9"
15048 Miño,"46,1",6.720,"34,4","23,8","95,3","15,4","2,3",20.791,18.550,40.209,17.181,33.216,14.193,"2,4","29,9"
15049 Moeche,"53,9",1.208,"33,2","37,1","97,9","9,4","2,3",18.013,16.450,32.270,14.271,28.113,12.432,"2,2","25,2"
15050 Monfero,"53,8",1.842,"28,8","35,2",97,"9,2","2,6",18.006,17.150,36.239,13.619,31.660,11.898,2,24
15051 Mugardos,"50,1",5.237,"31,7","29,6","98,5","12,2","2,3",19.450,18.550,36.245,15.903,30.861,13.541,"2,1",25
15052 Muxía,"52,3",4.447,"30,7","35,2","97,5","9,7","2,5",16.607,15.750,31.497,12.730,27.863,11.262,"2,2",26
15053 Muros,"51,6",8.246,"30,7","33,5","98,1","10,7","2,4",17.462,16.450,33.697,13.640,28.774,11.647,"2,3","26,9"
15054 Narón,"45,2",38.897,"29,7","21,7","96,8","16,2","2,3",19.273,17.850,36.717,15.632,30.967,13.184,"2,3","26,2"
15055 Neda,"50,8",4.918,"30,5","31,6","98,4","11,4","2,3",19.628,17.850,36.869,15.968,31.440,13.617,"2,2",26
15056 Negreira,"47,2",6.890,"29,1","26,1","95,5","14,7","2,5",17.532,16.450,34.144,13.511,29.596,11.711,"2,4","27,1"
15057 Noia,"47,9",14.045,"28,1","26,7","96,5","13,5","2,5",18.740,17.150,36.752,14.846,31.298,12.643,"2,3","26,4"
15058 Oleiros,"44,5",37.516,"24,5","21,3","95,2","17,5","2,6",28.440,22.050,63.323,24.091,48.638,18.504,"2,6","34,2"
15059 Ordes,"46,3",12.625,"26,1","24,9","93,8","15,6","2,6",18.650,17.850,37.750,14.392,32.260,12.299,"2,1","25,2"
